name,state,city,address,latitude,longitude,type,station_id,type_label
Eesl Delhi Haat,Delhi Ncr,Delhi,"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",28.572793,77.208662,8,eesl delhi haat_28.57279_77.20866,Public_AC
Eesl Chelmsford Club,Delhi Ncr,Delhi,"Back of Hotel Claridges Near NDMC Power Sub nStation, Tees January Marg, nDr. APJ Abdul Kalam Road, New Delhi- 110003",28.61826041,77.21256986,8,eesl chelmsford club_28.61826_77.21257,Public_AC
Eesl Chelmsford Club,Delhi Ncr,Delhi,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61826041,77.21256986,8,eesl chelmsford club_28.61826_77.21257,Public_AC
"Go Auto/ Treo Tata, Safdargunj",Delhi Ncr,Delhi,"A-2/14, Safdarjung Enclave, , Delhi, Delhi - 110029",28.56483,77.18891,7,"go auto/ treo tata, safdargunj_28.56483_77.18891",AC_slow_moderate
"Autovikas, Motinagar",Delhi Ncr,Delhi,"Block B, No. 57, Rama Rd, Moti Nagar, Block B, Najafgarh Road Industrial Area, New Delhi, Delhi 110015",28.66078,77.1536,7,"autovikas, motinagar_28.66078_77.1536",AC_slow_moderate
"Westside, Lajpat Nagar",Delhi Ncr,Delhi,"A-15, Alankar Cinema Building, Feroze Gandhi Marg, Lajpat Nagar III, New Delhi 110024",28.56817,77.24112,7,"westside, lajpat nagar_28.56817_77.24112",AC_slow_moderate
"Iocl - Welcome Motors, Saket",Delhi Ncr,Delhi,SAKET DISST. CENTRE SAKET N.DELHI - 110017,28.5279341,77.2156347,7,"iocl - welcome motors, saket_28.52793_77.21563",AC_slow_moderate
"Malwa Automobiles, Rohini",Delhi Ncr,Delhi,"Showroom, No. A1, 16, Prashant Vihar Sector 14 Rohini, New Delhi - 110085",28.709289,77.135499,7,"malwa automobiles, rohini_28.70929_77.1355",AC_slow_moderate
"Iocl - Nineteenth Hole Service Station, Dr Zakir Hussain Ro",Delhi Ncr,Delhi,"DR. ZAKIR HUSSAIN ROAD NEAR GOLF COURSEN DELHI LOCK ID NO. I 343,110003",28.60259,77.237904,7,"iocl - nineteenth hole service station, dr zakir hussain ro_28.60259_77.2379",AC_slow_moderate
"Iocl - Sabarwal Service Station, Rk Puram",Delhi Ncr,Delhi,"Tamil Sangam Marg, Sector 5, Rama Krishna Puram, New Delhi-110022",28.564625,77.177461,7,"iocl - sabarwal service station, rk puram_28.56462_77.17746",AC_slow_moderate
"Airia Mall, Sec 68 Sohna Road",Delhi Ncr,Gurgaon,"Sector 68, Sohna Road, Gurgaon 122018n",28.383022,77.05228,7,"airia mall, sec 68 sohna road_28.38302_77.05228",AC_slow_moderate
"Iocl - Jai Sai Motors, Okhla Phase 1",Delhi Ncr,Delhi,"Okhla Phase - 1, near Hotel Crown Plaza, New Delhi, Delhi 110020",28.527674,77.273003,7,"iocl - jai sai motors, okhla phase 1_28.52767_77.273",AC_slow_moderate
"Iocl - Coco, Jungpura",Delhi Ncr,Delhi,"Lala Lajpat Rai Marg, Jangpura, Nizamuddin West, New Delhi- 110014",28.587135,77.241353,7,"iocl - coco, jungpura_28.58714_77.24135",AC_slow_moderate
"Iocl - Irwin Petrol Pump, Connaught Place",Delhi Ncr,Delhi,"Baba Kharak Singh Marg, Connaught Place, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001",28.62932,77.21262,7,"iocl - irwin petrol pump, connaught place_28.62932_77.21262",AC_slow_moderate
"Iocl - Rk Service Station, Chanakyapuri",Delhi Ncr,Delhi,"Vinay Marg, ChanakyaPuri, New Delhi - 110021",28.58342,77.191319,7,"iocl - rk service station, chanakyapuri_28.58342_77.19132",AC_slow_moderate
